Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2, as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,3,0,3,0,1, boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,3,0,3,0,1, dawg you ever fuck a bitch and she start to cry you be confused as shit
3,3,0,2,1,1,ganderson based she look like a tranny
4,6,0,6,0,1, the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,3,1,2,0,1,madisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
6,3,0,3,0,1,brighterdays i can not just sit up and hate on another bitch  i got too much shit going on
7,3,0,3,0,1,8220 cause im tired of you big bitches coming for us skinny girls8221
8,3,0,3,0,1, amp you might not get ya bitch back amp thats that 
9,3,1,2,0,1,  hobbies include fighting mariambitch
10,3,0,3,0,1, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
11,3,0,3,0,1, murda gang bitch its gang land 
12,3,0,2,1,1, so hoes that smoke are losers   yea  go on ig
13,3,0,3,0,1, bad bitches is the only thing that i like 
14,3,1,2,0,1, bitch get up off me 
15,3,0,3,0,1, bitch nigga miss me with it 
16,3,0,3,0,1, bitch plz whatever 
17,3,1,2,0,1, bitch who do you love 
18,3,0,3,0,1, bitches get cut off everyday b 
19,3,0,3,0,1, black bottle amp a bad bitch 
20,3,0,3,0,1, broke bitch cant tell me nothing 
21,3,0,3,0,1, cancel that bitch like nino 
22,3,0,3,0,1, cant you see these hoes wont change 
23,3,0,3,0,1, fuck no that bitch dont even suck dick  128514128514128514 the kermit videos bout to fuck ig up
24,3,0,3,0,1, got ya bitch tip toeing on my hardwood floors  128514 tcocou2wq5l4q
25,3,0,2,1,1, her pussy lips like heaven doors  128524
26,3,0,3,0,1, hoe what its hitting for 
27,3,0,3,0,1, i met that pussy on ocean dr  i gave that pussy a pill  128524
28,3,0,3,0,1, i need a trippy bitch who fuck on hennessy 
29,3,0,3,0,1, i spend my money how i want bitch its my business 
30,3,0,3,0,1, i txt my old bitch my new bitch pussy wetter 
31,3,0,3,0,1, id say im back to the old me but my old bitches would get excited  128524
32,3,0,3,0,1, if you aint bout that murder game pussy nigga shut up 
33,3,0,3,0,1, if youre toes aint done you pussy stinks 
34,3,0,3,0,1, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
35,3,0,3,0,1, is that ya bitch 
36,3,0,3,0,1, it aint nothing to cut a bitch off 
37,3,0,3,0,1, jus meet son now he ya mane ass bitches  shots
38,3,0,2,1,1, lames crying over hoes thats tears of a clown 
39,3,0,3,0,1, like snoop said in 94 we dont love these hoes 
40,3,0,1,2,2, momma said no pussy cats inside my doghouse 
41,3,0,3,0,1, most hated but the hoes favorite  2mw sevenone  tcobmdsvmc3rc
42,3,0,3,0,1, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick tcobzrdl3kf7u
43,3,0,3,0,1, pimps up pimps up hoes down  future voice
44,3,0,3,0,1, post a picture of that pussy get 200 likes 
45,3,0,3,0,1, pussy is a powerful drug  128517 happyhumpday tcor8jsymib5b
46,3,0,3,0,1, quick piece of pussy call it a drive by 
47,3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked 
48,3,0,3,0,1, these bitches even worst theyll send them guys for you 
49,3,1,2,0,1, these hoes like niggas that spend money not talk bout it 
50,3,1,2,0,1, we dont trust these niggas all these bitches 
51,3,0,3,0,1, yall niggas b cuffing hoes cause yall aint never have bitches 
52,3,0,3,0,1, you dodge a bullet  128517 8220 all da bitches i cut off pregnant or bound to be thank god 1285918221
53,3,0,3,0,1, young pill chamberlain these bitches love my music 
54,3,0,2,1,1,128514128514128514128514128514128514128514128514128514128514128514 teanna trump probably cleaner than most of these twitter hoes but
55,3,0,3,0,1,128514128514128514128514128514128514128514128514128514128514 gay niggas couldnt wait to act like bitches tonight
56,3,0,3,0,1,128514128514128514paradox and ima steal his cat n replace it with a pitbull 128514128514128514128514 paradox he a bitch you should do it
57,3,0,3,0,1,amp hes gone always be a hoe
58,3,0,3,0,1,son of a bitch took my tic tacsi like this movie
59,3,0,3,0,1,all i wanna do is get money and fuck model bitches  russell simmons
60,3,0,2,1,1, i probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers retweet
61,3,0,3,0,1, im a fucking fag they said
62,3,0,3,0,1, females think dating a pussy is cute now tcovxbjg26gsz how does doing this stuff make him a pussy
63,3,0,0,3,2, simplyaddictedtoguys tco1jl4hi8zmf woof woof hot scally lad
64,3,0,3,0,1, have ya ever asked your bitch for other bitches  kanye voice yes
65,3,0,3,0,1, how u gone bring ur side bitch to a game where you know ya gf friends at  128553128553128553128553 i swear
66,3,0,1,2,2, tco3gzupfumev woof woof and hot soles
67,3,0,1,2,2, lemmie eat a oreo amp do these dishes one oreo lol
68,3,0,3,0,1,   bitch fuck u tcopxmga68nc1 maybe youll get better just tcotprevwfq0s
69,3,1,2,0,1, fuck red malone man bitch ass niggah could you please use complete sentences
70,3,0,0,3,2, why the eggplant emoji doey he say she looked like scream lmao
71,3,0,3,0,1, hennessey venom gt 128584 tcoi8egmnkaj9 thats one sexy bitch
72,3,0,3,0,1, him seh me pussy wetter then a shower curtainahmesehwetnessltlmao
73,3,0,3,0,1,hen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,3,1,2,0,1, yo fuck skateboarding all yall some wood pushing faggots man ball is life tcovbczp6hmt7
75,3,0,1,2,2, baby monkey bathtime tco7kpwadlf0rawwwwe this is soooo adorable
76,3,0,3,0,1, 128514128514128514128514 i aint shit  damn skippy lol
